soc_code;socxx_code;socxx_desc
17-3022;173020;Engineering Technicians, Except Drafters
17-3023;173020;Engineering Technicians, Except Drafters
17-3024;173020;Engineering Technicians, Except Drafters
17-3025;173020;Engineering Technicians, Except Drafters
17-3026;173020;Engineering Technicians, Except Drafters
17-3027;173020;Engineering Technicians, Except Drafters
17-3029;173020;Engineering Technicians, Except Drafters
17-3031;173031;Surveying and Mapping Technicians
19-1011;191010;Agricultural and Food Scientists
19-1012;191010;Agricultural and Food Scientists
19-1013;191010;Agricultural and Food Scientists
19-1021;191020;Biological Scientists
19-1022;191020;Biological Scientists
19-1023;191020;Biological Scientists
19-1029;191020;Biological Scientists
19-1031;191030;Conservation Scientists and Foresters
19-1032;191030;Conservation Scientists and Foresters
19-1041;1910XX;Medical Scientists, and Life Scientists, All Other
19-1042;1910XX;Medical Scientists, and Life Scientists, All Other
19-1099;1910XX;Medical Scientists, and Life Scientists, All Other
19-2011;192010;Astronomers and Physicists
19-2012;192010;Astronomers and Physicists
19-2021;192021;Atmospheric and Space Scientists
19-2031;192030;Chemists and Materials Scientists
19-2032;192030;Chemists and Materials Scientists
19-2041;192040;Environmental Scientists and Geoscientists
19-2042;192040;Environmental Scientists and Geoscientists
19-2043;192040;Environmental Scientists and Geoscientists
19-2099;192099;Physical Scientists, All Other
19-3011;193011;Economists
19-3022;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-3031;193030;Psychologists
19-3032;193030;Psychologists
19-3039;193030;Psychologists
19-3041;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-3051;193051;Urban and Regional Planners
19-3091;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-3092;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-3093;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-3094;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-3099;1930XX;Miscellaneous Social Scientists, including Survey Researchers and Sociologists
19-4011;194011;Agricultural and Food Science Technicians
19-4021;194021;Biological Technicians
19-4031;194031;Chemical Technicians
19-4041;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
19-4051;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
19-4061;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
19-4091;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
19-4092;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
19-4093;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
19-4099;1940YY;Miscellaneous Life, Physical, and Social Science Technicians, including Social Science Research Assistants
21-1012;211010;Counselors
21-1013;211010;Counselors
21-1015;211010;Counselors
21-1018;211010;Counselors
21-1019;211010;Counselors
21-1021;211020;Social Workers
21-1022;211020;Social Workers
21-1023;211020;Social Workers
21-1029;211020;Social Workers
21-1091;211090;Miscellaneous Community and Social Service Specialists
21-1092;211090;Miscellaneous Community and Social Service Specialists
21-1093;211090;Miscellaneous Community and Social Service Specialists
21-1094;211090;Miscellaneous Community and Social Service Specialists
21-1099;211090;Miscellaneous Community and Social Service Specialists
21-2011;212011;Clergy
21-2021;212021;Directors, Religious Activities and Education
21-2099;212099;Religious Workers, All Other
23-1011;2310XX;Lawyers, and judges, magistrates, and other judicial workers
23-1012;2310XX;Lawyers, and judges, magistrates, and other judicial workers
23-1021;2310XX;Lawyers, and judges, magistrates, and other judicial workers
23-1022;2310XX;Lawyers, and judges, magistrates, and other judicial workers
23-1023;2310XX;Lawyers, and judges, magistrates, and other judicial workers
23-2011;232011;Paralegals and Legal Assistants
23-2091;232090;Miscellaneous Legal Support Workers
23-2093;232090;Miscellaneous Legal Support Workers
23-2099;232090;Miscellaneous Legal Support Workers
25-1099;251000;Postsecondary Teachers
25-2011;252010;Preschool and Kindergarten Teachers
25-2012;252010;Preschool and Kindergarten Teachers
25-2021;252020;Elementary and Middle School Teachers
25-2022;252020;Elementary and Middle School Teachers
25-2023;252020;Elementary and Middle School Teachers
25-2031;252030;Secondary School Teachers
25-2032;252030;Secondary School Teachers
25-2051;252050;Special Education Teachers
25-2052;252050;Special Education Teachers
25-2053;252050;Special Education Teachers
25-2054;252050;Special Education Teachers
25-2059;252050;Special Education Teachers
25-3011;253000;Other Teachers and Instructors
25-3021;253000;Other Teachers and Instructors
25-3099;253000;Other Teachers and Instructors
25-4011;254010;Archivists, Curators, and Museum Technicians
25-4012;254010;Archivists, Curators, and Museum Technicians
25-4013;254010;Archivists, Curators, and Museum Technicians
25-4021;254021;Librarians
25-4031;254031;Library Technicians
25-9011;2590XX;Other Education, Training, and Library Workers
25-9021;2590XX;Other Education, Training, and Library Workers
25-9031;2590XX;Other Education, Training, and Library Workers
25-9041;259041;Teacher Assistants
25-9099;2590XX;Other Education, Training, and Library Workers
27-1011;271010;Artists and Related Workers
27-1012;271010;Artists and Related Workers
27-1013;271010;Artists and Related Workers
27-1014;271010;Artists and Related Workers
27-1019;271010;Artists and Related Workers
27-1021;271020;Designers
27-1022;271020;Designers
27-1023;271020;Designers
27-1024;271020;Designers
27-1025;271020;Designers
27-1026;271020;Designers
27-1027;271020;Designers
27-1029;271020;Designers
27-2011;272011;Actors
27-2012;272012;Producers and Directors
27-2021;272020;Athletes, Coaches, Umpires, and Related Workers
27-2022;272020;Athletes, Coaches, Umpires, and Related Workers
27-2023;272020;Athletes, Coaches, Umpires, and Related Workers
27-2031;272030;Dancers and Choreographers
27-2032;272030;Dancers and Choreographers
27-2041;272040;Musicians, Singers, and Related Workers
27-2042;272040;Musicians, Singers, and Related Workers
27-2099;272099;Entertainers and Performers, Sports and Related Workers, All Other
27-3011;273010;Announcers
27-3012;273010;Announcers
27-3021;273020;News Analysts, Reporters and Correspondents
27-3022;273020;News Analysts, Reporters and Correspondents
27-3031;273031;Public Relations Specialists
27-3041;273041;Editors
27-3042;273042;Technical Writers
27-3043;273043;Writers and Authors
27-3091;273090;Miscellaneous Media and Communication Workers
27-3099;273090;Miscellaneous Media and Communication Workers
27-4011;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
27-4012;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
27-4013;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
27-4014;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
27-4021;274021;Photographers
27-4031;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
27-4032;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
27-4099;2740XX;Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other
29-1011;291011;Chiropractors
29-1021;291020;Dentists
29-1022;291020;Dentists
29-1023;291020;Dentists
29-1024;291020;Dentists
29-1029;291020;Dentists
29-1031;291031;Dieticians and Nutritionists
29-1041;291041;Optometrists
29-1051;291051;Pharmacists
29-1061;291060;Physicians and Surgeons
29-1062;291060;Physicians and Surgeons
29-1063;291060;Physicians and Surgeons
29-1064;291060;Physicians and Surgeons
29-1065;291060;Physicians and Surgeons
29-1066;291060;Physicians and Surgeons
29-1067;291060;Physicians and Surgeons
29-1069;291060;Physicians and Surgeons
29-1071;291071;Physician Assistants
29-1081;291081;Podiatrists
29-1122;291122;Occupational Therapists
29-1123;291123;Physical Therapists
29-1124;291124;Radiation Therapists
29-1125;291125;Recreational Therapists
29-1126;291126;Respiratory Therapists
29-1127;291127;Speech Language Pathologists
29-1128;291129;Therapists, All Other
29-1129;291129;Therapists, All Other
29-1131;291131;Veterinarians
29-1141;291141;Registered Nurses
29-1151;291141;Registered Nurses
29-1161;291141;Registered Nurses
29-1171;291141;Registered Nurses
29-1181;291181;Audiologists
29-1199;291199;Health Diagnosing and Treating Practitioners, All Other
29-2018;292010;Clinical Laboratory Technologists and Technicians
29-2021;292021;Dental Hygienists
29-2031;292030;Diagnostic Related Technologists and Technicians
29-2032;292030;Diagnostic Related Technologists and Technicians
29-2033;292030;Diagnostic Related Technologists and Technicians
29-2034;292030;Diagnostic Related Technologists and Technicians
29-2035;292030;Diagnostic Related Technologists and Technicians
29-2041;292041;Emergency Medical Technicians and Paramedics
29-2051;292050;Health Practitioner Support Technologists and Technicians
29-2052;292050;Health Practitioner Support Technologists and Technicians
29-2053;292050;Health Practitioner Support Technologists and Technicians
29-2054;292050;Health Practitioner Support Technologists and Technicians
29-2055;292050;Health Practitioner Support Technologists and Technicians
29-2056;292050;Health Practitioner Support Technologists and Technicians
29-2057;292050;Health Practitioner Support Technologists and Technicians
29-2061;292061;Licensed Practical and Licensed Vocational Nurses
29-2071;292071;Medical Records and Health Information Technicians
29-2081;292081;Opticians, Dispensing
29-2091;292090;Miscellaneous Health Technologists and Technicians
29-2092;292090;Miscellaneous Health Technologists and Technicians
29-2099;292090;Miscellaneous Health Technologists and Technicians
29-9011;299000;Other Healthcare Practitioners and Technical Occupations
29-9012;299000;Other Healthcare Practitioners and Technical Occupations
29-9091;299000;Other Healthcare Practitioners and Technical Occupations
29-9092;299000;Other Healthcare Practitioners and Technical Occupations
29-9099;299000;Other Healthcare Practitioners and Technical Occupations
31-1011;311010;Nursing, Psychiatric, and Home Health Aides
31-1013;311010;Nursing, Psychiatric, and Home Health Aides
31-1014;311010;Nursing, Psychiatric, and Home Health Aides
31-1015;311010;Nursing, Psychiatric, and Home Health Aides
31-2011;312010;Occupational Therapy Assistants and Aides
31-2012;312010;Occupational Therapy Assistants and Aides
31-2021;312020;Physical Therapist Assistants and Aides
31-2022;312020;Physical Therapist Assistants and Aides
31-9011;319011;Massage Therapists
31-9091;319091;Dental Assistants
31-9092;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
31-9093;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
31-9094;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
31-9095;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
31-9096;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
31-9097;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
31-9099;31909X;Healthcare Support Workers, All Other, including Medical Equipment Preparers
33-1011;331011;First-Line Supervisors of Correctional Officers
33-1012;331012;First-Line Supervisors of Police and Detectives
33-1021;331021;First-Line Supervisors of Fire Fighting and Prevention Workers
33-1099;331099;First-Line Supervisors of Protective Service Workers, All Other
33-2011;332011;Firefighters
33-2021;332020;Fire Inspectors
33-2022;332020;Fire Inspectors
33-3011;333010;Bailiffs, Correctional Officers, and Jailers
33-3012;333010;Bailiffs, Correctional Officers, and Jailers
33-3021;333021;Detectives and Criminal Investigators
33-3031;3330XX;Miscellaneous law enforcement workers
33-3041;3330XX;Miscellaneous law enforcement workers
33-3051;333050;Police Officers
33-3052;333050;Police Officers
33-9011;33909X;Lifeguards and Other Recreational, and All Other Protective Service Workers
33-9021;339021;Private Detectives and Investigators
33-9031;339030;Security Guards and Gaming Surveillance Officers
33-9032;339030;Security Guards and Gaming Surveillance Officers
33-9091;339091;Crossing Guards
33-9092;33909X;Lifeguards and Other Recreational, and All Other Protective Service Workers
33-9093;33909X;Lifeguards and Other Recreational, and All Other Protective Service Workers
33-9099;33909X;Lifeguards and Other Recreational, and All Other Protective Service Workers
35-1011;351011;Chefs and Head Cooks
35-1012;351012;First-Line Supervisors of Food Preparation and Serving Workers
35-2011;352010;Cooks
35-2012;352010;Cooks
35-2013;352010;Cooks
35-2014;352010;Cooks
35-2015;352010;Cooks
35-2019;352010;Cooks
35-2021;352021;Food Preparation Workers
35-3011;353011;Bartenders
35-3021;353021;Combined Food Preparation and Serving Workers, including Fast Food
35-3022;353022;Counter Attendant, Cafeteria, Food Concession, and Coffee Shop
35-3031;353031;Waiters and Waitresses
35-3041;353041;Food Servers, Nonrestaurant
35-9011;3590XX;Miscellaneous Food Preparation and Serving Related Workers, including Dining Room and Cafeteria Attendants and Bartender Helpers
35-9021;359021;Dishwashers
35-9031;359031;Host and Hostesses, Restaurant, Lounge, and Coffee Shop
35-9099;3590XX;Miscellaneous Food Preparation and Serving Related Workers, including Dining Room and Cafeteria Attendants and Bartender Helpers
37-1011;371011;First-Line Supervisors of Housekeeping and Janitorial Workers
37-1012;371012;First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers
37-2011;37201X;Janitors and Building Cleaners
37-2012;372012;Maids and Housekeeping Cleaners
37-2019;37201X;Janitors and Building Cleaners
37-2021;372021;Pest Control Workers
37-3011;373010;Grounds Maintenance Workers
37-3012;373010;Grounds Maintenance Workers
37-3013;373010;Grounds Maintenance Workers
37-3019;373010;Grounds Maintenance Workers
39-1018;391010;First-Line Supervisors of Gaming Workers
39-1021;391021;First-Line Supervisors of Personal Service Workers
39-2011;392011;Animal Trainers
39-2021;392021;Nonfarm Animal Caretakers
39-3011;393010;Gaming Services Workers
39-3012;393010;Gaming Services Workers
39-3019;393010;Gaming Services Workers
39-3021;393021;Motion Picture Projectionists
39-3031;393031;Ushers, Lobby Attendants, and Ticket Takers
39-3091;393090;Miscellaneous Entertainment Attendants and Related Workers
39-3092;393090;Miscellaneous Entertainment Attendants and Related Workers
39-3093;393090;Miscellaneous Entertainment Attendants and Related Workers
39-3099;393090;Miscellaneous Entertainment Attendants and Related Workers
39-4011;394000;Funeral Service Workers
39-4021;394000;Funeral Service Workers
39-4031;394000;Funeral Service Workers
39-5011;395011;Barbers
39-5012;395012;Hairdressers, Hairstylists, and Cosmetologists
39-5091;395090;Miscellaneous Personal Appearance Workers
39-5092;395090;Miscellaneous Personal Appearance Workers
39-5093;395090;Miscellaneous Personal Appearance Workers
39-5094;395090;Miscellaneous Personal Appearance Workers
39-6011;396010;Baggage Porters, Bellhops, and Concierges
39-6012;396010;Baggage Porters, Bellhops, and Concierges
39-7018;397010;Tour and Travel Guides
39-9011;399011;Childcare Workers
39-9021;399021;Personal Care Aides
39-9031;399030;Recreation and Fitness Workers
39-9032;399030;Recreation and Fitness Workers
39-9041;399041;Residential Advisors
39-9099;399099;Personal Care and Service Workers, All Other
41-1011;411011;First-Line Supervisors of Retail Sales Workers
41-1012;411012;First-Line Supervisors of Non-Retail Sales
41-2011;412010;Cashiers
41-2012;412010;Cashiers
41-2021;412021;Counter and Rental Clerks
41-2022;412022;Parts Salespersons
41-2031;412031;Retail Salespersons
41-3011;413011;Advertising Sales Agents
41-3021;413021;Insurance Sales Agents
41-3031;413031;Securities, Commodities, and Financial Services Sales Agents
41-3041;413041;Travel Agents
41-3099;413099;Sales Representatives, Services, All Other
41-4011;414010;Sales Representatives, Wholesale and Manufacturing
41-4012;414010;Sales Representatives, Wholesale and Manufacturing
41-9011;419010;Models, Demonstrators, and Product Promoters
41-9012;419010;Models, Demonstrators, and Product Promoters
41-9021;419020;Real Estate Brokers and Sales Agents
41-9022;419020;Real Estate Brokers and Sales Agents
41-9031;419031;Sales Engineers
41-9041;419041;Telemarketers
41-9091;419091;Door-to-Door Sales Workers, News and Street Vendors, and Related Workers
41-9099;419099;Sales and Related Workers, All Other
43-1011;431011;First-Line Supervisors of Office and Administrative Support Workers
43-2011;432011;Switchboard Operators, including Answering Service
43-2021;432021;Telephone Operators
43-2099;432099;Communications Equipment Operators, All Other
43-3011;433011;Bill and Account Collectors
43-3021;433021;Billing and Posting Clerks
43-3031;433031;Bookkeeping, Accounting, and Auditing Clerks
43-3041;433041;Gaming Cage Workers
43-3051;433051;Payroll and Timekeeping Clerks
43-3061;433061;Procurement Clerks
43-3071;433071;Tellers and Financial Clerks, All Other
43-3099;433071;Tellers and Financial Clerks, All Other
43-4011;434011;Brokerage Clerks
43-4021;434XXX;Order Clerks
43-4031;434031;Court, Municipal, and License Clerks
43-4041;434041;Credit Authorizers, Checkers, and Clerks
43-4051;434051;Customer Service Representatives
43-4061;434061;Eligibility Interviewers, Government Programs
43-4071;434071;File Clerks
43-4081;434081;Hotel, Motel, and Resort Desk Clerks
43-4111;434111;Interviewers, Except Eligibility and Loan
43-4121;434121;Library Assistants, Clerical
43-4131;434131;Loan Interviewers and Clerks
43-4141;434141;New Account Clerks
43-4151;434XXX;Order Clerks
43-4161;434161;Human Resources Assistants, Except Payroll and Timekeeping
43-4171;434171;Receptionists and Information Clerks
43-4181;434181;Reservation and Transportation Ticket Agents and Travel Clerks
43-4199;434199;Information and Record Clerks, All Other
43-5011;435011;Cargo and Freight Agents
43-5021;435021;Couriers and Messengers
43-5031;435030;Dispatchers
43-5032;435030;Dispatchers
43-5041;435041;Meter Readers, Utilities
43-5051;435051;Postal Service Clerks
43-5052;435052;Postal Service Mail Carriers
43-5053;435053;Postal Service Mail Sorters, Processors, and Processing Machine Operators
43-5061;435061;Production, Planning, and Expediting Clerks
43-5071;435071;Shipping, Receiving, and Traffic Clerks
43-5081;435081;Stock Clerks and Order Fillers
43-5111;435111;Weighers, Measurers, Checkers, and Samplers, Recordkeeping
43-6011;436010;Secretaries and Administrative Assistants
43-6012;436010;Secretaries and Administrative Assistants
43-6013;436010;Secretaries and Administrative Assistants
43-6014;436010;Secretaries and Administrative Assistants
43-9011;439011;Computer Operators
43-9021;439021;Data Entry Keyers
43-9022;439022;Word Processors and Typists
43-9031;439XXX;Miscellaneous Office and Administrative Support Workers, including Desktop Publishers
43-9041;439041;Insurance Claims and Policy Processing Clerks
43-9051;439051;Mail Clerks and Mail Machine Operators, Except Postal Service
43-9061;439061;Office Clerks, General
43-9071;439071;Office Machine Operators, Except Computer
43-9081;439081;Proofreaders and Copy Markers
43-9111;439111;Statistical Assistants
43-9199;439XXX;Miscellaneous Office and Administrative Support Workers, including Desktop Publishers
45-1011;451011;First-Line Supervisors of Farming, Fishing, and Forestry Workers
45-2011;452011;Agricultural Inspectors
45-2021;4520XX;Miscellaneous Agricultural Workers, including Animal Breeders
45-2041;452041;Graders and Sorters, Agricultural Products
45-2091;4520XX;Miscellaneous Agricultural Workers, including Animal Breeders
45-2092;4520XX;Miscellaneous Agricultural Workers, including Animal Breeders
45-2093;4520XX;Miscellaneous Agricultural Workers, including Animal Breeders
45-2099;4520XX;Miscellaneous Agricultural Workers, including Animal Breeders
45-3000;453000;Fishing and Hunting Workers
45-4011;454011;Forest and Conservation Workers
45-4021;454020;Logging Workers
45-4022;454020;Logging Workers
45-4023;454020;Logging Workers
45-4029;454020;Logging Workers
47-1011;471011;First-Line Supervisors of Construction Trades and Extraction Workers
47-2011;472011;Boilermakers
47-2021;472XXX;Brickmasons, Blockmasons, Stonemasons, and Reinforcing Iron and Rebar Workers
47-2022;472XXX;Brickmasons, Blockmasons, Stonemasons, and Reinforcing Iron and Rebar Workers
47-2031;472031;Carpenters
47-2041;472040;Carpet, Floor, and Tile Installers and Finishers
47-2042;472040;Carpet, Floor, and Tile Installers and Finishers
47-2043;472040;Carpet, Floor, and Tile Installers and Finishers
47-2044;472040;Carpet, Floor, and Tile Installers and Finishers
47-2051;472050;Cement Masons, Concrete Finishers, and Terrazzo Workers
47-2053;472050;Cement Masons, Concrete Finishers, and Terrazzo Workers
47-2061;472061;Construction Laborers
47-2071;472071;Paving, Surfacing, and Tamping Equipment Operators
47-2072;47207X;Construction equipment operators except paving, surfacing, and tamping equipment operators
47-2073;47207X;Construction equipment operators except paving, surfacing, and tamping equipment operators
47-2081;472080;Drywall Installers, Ceiling Tile Installers, and Tapers
47-2082;472080;Drywall Installers, Ceiling Tile Installers, and Tapers
47-2111;472111;Electricians
47-2121;472121;Glaziers
47-2131;472130;Insulation Workers
47-2132;472130;Insulation Workers
47-2141;472140;Painters and Paperhangers
47-2142;472140;Painters and Paperhangers
47-2151;472150;Pipelayers, Plumbers, Pipefitters, and Steamfitters
47-2152;472150;Pipelayers, Plumbers, Pipefitters, and Steamfitters
47-2161;472161;Plasterers and Stucco Masons
47-2171;472XXX;Brickmasons, Blockmasons, Stonemasons, and Reinforcing Iron and Rebar Workers
47-2181;472181;Roofers
47-2211;472211;Sheet Metal Workers
47-2221;472221;Structural Iron and Steel Workers
47-2231;47XXXX;Miscellaneous Construction Workers, including Solar Photovaltaic Installers, and Septic Tank Servicers and Sewer Pipe Cleaners
47-3011;473010;Helpers, Construction Trades
47-3012;473010;Helpers, Construction Trades
47-3013;473010;Helpers, Construction Trades
47-3014;473010;Helpers, Construction Trades
47-3015;473010;Helpers, Construction Trades
47-3016;473010;Helpers, Construction Trades
47-3019;473010;Helpers, Construction Trades
47-4011;474011;Construction and Building Inspectors
47-4021;474021;Elevator Installers and Repairers
47-4031;474031;Fence Erectors
47-4041;474041;Hazardous Materials Removal Workers
47-4051;474051;Highway Maintenance Workers
47-4061;474061;Rail-Track Laying and Maintenance Equipment Operators
47-4071;47XXXX;Miscellaneous Construction Workers, including Solar Photovaltaic Installers, and Septic Tank Servicers and Sewer Pipe Cleaners
47-4098;47XXXX;Miscellaneous Construction Workers, including Solar Photovaltaic Installers, and Septic Tank Servicers and Sewer Pipe Cleaners
47-5011;4750YY;Derrick, Rotary Drill, and Service Unit Operators, and Roustabouts, Oil, Gas, and Mining
47-5012;4750YY;Derrick, Rotary Drill, and Service Unit Operators, and Roustabouts, Oil, Gas, and Mining
47-5013;4750YY;Derrick, Rotary Drill, and Service Unit Operators, and Roustabouts, Oil, Gas, and Mining
47-5021;475021;Earth Drillers, Except Oil and Gas
47-5031;475031;Explosives Workers, Ordnance Handling Experts, and Blasters
47-5041;475040;Mining Machine Operators
47-5042;475040;Mining Machine Operators
47-5049;475040;Mining Machine Operators
47-5051;4750XX;Miscellaneous Extraction Workers, including Roof Bolters and Helpers
47-5061;4750XX;Miscellaneous Extraction Workers, including Roof Bolters and Helpers
47-5071;4750XX;Miscellaneous Extraction Workers, including Roof Bolters and Helpers
47-5081;4750XX;Miscellaneous Extraction Workers, including Roof Bolters and Helpers
47-5099;4750XX;Miscellaneous Extraction Workers, including Roof Bolters and Helpers
49-1011;491011;First-Line Supervisors of Mechanics, Installers, and Repairers
49-2011;492011;Computer, Automated Teller, and Office Machine Repairers
49-2021;492020;Radio and Telecommunications Equipment Installers and Repairers
49-2022;492020;Radio and Telecommunications Equipment Installers and Repairers
49-2091;492091;Avionics Technicians
49-2092;492092;Electric Motor, Power Tool, and Related Repairers
49-2093;49209X;Electrical and Electronics Repairers, Transportation Equipment, and Industrial and Utility
49-2094;49209X;Electrical and Electronics Repairers, Transportation Equipment, and Industrial and Utility
49-2095;49209X;Electrical and Electronics Repairers, Transportation Equipment, and Industrial and Utility
49-2096;492096;Electronic Equipment Installers and Repairers, Motor Vehicles
